               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1121,            0.022568,            0.030122,           0.0024342,              0.6203,           0.0033892,          0.00087996,            0.096035,            0.014361,            0.029146,               0.082,               0.002,               0.002
                   1,            0.081146,            0.024783,            0.027216,            0.042465,             0.20066,             0.03712,           0.0082229,            0.069558,            0.014834,            0.025998,            0.063019,           0.0040188,           0.0040188
                   2,            0.062204,            0.023261,            0.024051,             0.22231,             0.19439,             0.08495,            0.023722,            0.071164,            0.011665,            0.024896,            0.043954,           0.0059545,           0.0059545
                   3,            0.062847,            0.022425,             0.02264,             0.17256,             0.31057,             0.15841,            0.049018,             0.06238,            0.010263,            0.025669,            0.024807,            0.007807,            0.007807
                   4,            0.057845,            0.020465,            0.022353,             0.19134,             0.33271,             0.18604,            0.059615,            0.062224,           0.0090892,            0.024174,            0.009208,            0.009208,            0.009208
                   5,            0.056635,            0.019578,            0.020764,             0.36197,             0.26645,             0.23456,            0.090422,            0.059753,           0.0086487,            0.025869,            0.009208,            0.009208,            0.009208
                   6,            0.055707,            0.019442,            0.020241,              0.3826,             0.38506,             0.38602,             0.13666,            0.053171,           0.0083616,            0.019457,             0.00901,             0.00901,             0.00901
                   7,            0.050248,            0.018286,            0.017565,             0.60968,             0.44737,             0.54359,             0.22175,            0.051807,           0.0083248,            0.017073,            0.008812,            0.008812,            0.008812
                   8,            0.046105,            0.016301,            0.015872,             0.53185,             0.55733,             0.53022,             0.22801,             0.04848,           0.0076858,            0.018526,            0.008614,            0.008614,            0.008614
                   9,            0.048434,            0.016457,            0.014187,             0.53963,             0.60638,              0.5861,             0.25179,            0.048572,           0.0075429,            0.024127,            0.008416,            0.008416,            0.008416
                  10,            0.047565,            0.015557,            0.013577,             0.73772,             0.60573,              0.6613,             0.31751,            0.047019,           0.0071488,            0.016097,            0.008218,            0.008218,            0.008218
                  11,            0.045481,            0.015768,            0.012302,             0.71936,             0.70367,             0.74927,             0.36334,            0.044633,           0.0069769,            0.013833,             0.00802,             0.00802,             0.00802
